trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.8, 'e': 0.29437007992606856}",25,16,-47.87722907214096,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.8, 'e': 0.29006650216828406}",20,6,-19.37146367427549,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.8, 'e': 0.2833604048378943}",30,19,15.402506320859578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.2780815714001986}",35,13,31.956887451705366,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.26749882862458735}",25,8,-48.23897480720451,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.2592990193353776}",25,14,-2.943053178281087,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.2539832402346734}",20,0,4.266728342119503,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.8, 'e': 0.24429861618388662}",20,2,-24.345629893178913,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.8, 'e': 0.23556153952869024}",30,7,33.76444247230353,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.2243698260373414}",25,6,12.110141155233467,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.21510205201828167}",20,16,7.856197195578366,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.21314843996351787}",20,0,1.371601235219542,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.20336774719518252}",20,14,12.93234371934895,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.2004295291708014}",20,13,15.571170256387592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.196999330115866}",20,8,22.15629724865397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.19111339769520508}",20,13,-9.084574282114621,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.18767674626469114}",25,18,6.97817843670325,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.1842377957963826}",25,17,2.701310432666716,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.18030480558328965}",20,13,0.390033714347499,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.17686107049742464}",20,14,-30.2432073283352,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.8, 'e': 0.17390757157340905}",20,14,-52.60006332398129,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
143,False,"{'a': 0.8, 'e': 0.17095250748242338}",25,18,-28.09360972582746,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.8, 'e': 0.16750298999449934}",20,13,15.206305330324982,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.16405142059704247}",20,14,9.176134942926492,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.16109133143917923}",20,16,7.580490143940263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.15911713156618487}",25,16,14.167031870595974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.15467286679906897}",20,15,-0.687750839707526,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.15220247166834752}",20,14,13.298169718715544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.1492367432008806}",25,9,15.036330085269537,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.1413216400762593}",20,9,-26.13105425981632,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.8, 'e': 0.13587472950730553}",20,10,-6.0941553328111,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.1309194215886227}",35,26,15.243475467896715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.12645684253264733}",20,13,15.61464994514361,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.12298417268881312}",25,13,22.178722724452392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.11702754291378331}",25,7,9.477766497308489,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.10808476596935639}",20,5,32.13830506749801,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.10062573338693173}",30,18,8.260494957294421,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.09465441184771117}",20,11,7.245230868408244,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.0901736727288356}",25,18,16.391841217256875,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.08668738633685107}",20,16,7.918123841412212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.0846947431643856}",25,20,8.117246495013598,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.08220346372521299}",20,6,14.607841732705118,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.07522519774502306}",20,13,12.69644429091871,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.07173466111945981}",25,17,14.830323793235008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.06774440287944729}",25,0,39.695955710290285,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.8, 'e': 0.05526815132278187}",20,8,22.484388014046246,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.0492763631581053}",30,1,36.35970524574632,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,18.785374464574552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,20,10.262941051364317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,16,26.836401159720126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,6,31.821991328491023,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,16,16.07397187081179,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,13.426409179370472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,17,15.977486715417244,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,8,20.023422464908638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,11.265047733548883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,18,21.942062635755665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
